Customer_ID,Region,Order_Amount,Order_Date
CUST1051,Birmingham,272,08/01/2024
CUST1092,Glasgow,249,25/12/2024
CUST1014,London,26,02/07/2024
CUST1071,Glasgow,193,07/10/2024
CUST1060,Birmingham,160,13/07/2024
CUST1020,London,187,17/12/2024
CUST1082,Glasgow,189,13/07/2024
CUST1086,Glasgow,412,03/06/2024
CUST1074,Birmingham,453,02/04/2024
CUST1074,London,302,08/06/2024
CUST1087,Birmingham,141,01/03/2024
CUST1099,London,213,01/05/2024
CUST1023,Leeds,24,20/02/2024
CUST1002,Manchester,48,03/10/2024
CUST1021,Manchester,184,05/01/2024
CUST1052,Manchester,441,01/04/2024
CUST1001,Birmingham,358,18/06/2024
CUST1087,Leeds,155,12/11/2024
CUST1029,London,384,22/01/2024
CUST1037,Glasgow,340,21/11/2024
CUST1001,London,361,01/01/2024
CUST1063,Glasgow,164,12/05/2024
CUST1059,London,346,20/08/2024
CUST1020,Leeds,236,12/01/2024
CUST1032,Glasgow,320,11/12/2024
CUST1075,Birmingham,151,15/02/2024
CUST1057,London,311,03/02/2024
CUST1021,London,89,18/03/2024
CUST1088,Glasgow,271,05/08/2024
CUST1048,Birmingham,434,27/10/2024
CUST1090,Birmingham,294,13/03/2024
CUST1058,Leeds,464,08/10/2024
CUST1041,Birmingham,383,05/09/2024
CUST1091,Birmingham,201,16/02/2024
CUST1059,Birmingham,186,30/04/2024
CUST1079,Manchester,110,01/08/2024
CUST1014,Leeds,221,26/08/2024
CUST1061,London,365,25/02/2024
CUST1061,Glasgow,38,15/12/2024
CUST1046,London,58,16/04/2024
CUST1061,Leeds,145,14/11/2024
CUST1050,Glasgow,470,17/02/2024
CUST1054,Leeds,192,01/03/2024
CUST1063,Birmingham,160,02/12/2024
CUST1002,Glasgow,261,26/01/2024
CUST1050,Birmingham,239,18/10/2024
CUST1006,London,145,13/09/2024
CUST1020,London,77,08/01/2024
CUST1072,Glasgow,167,22/04/2024
CUST1038,Glasgow,495,20/12/2024
CUST1017,Leeds,475,09/09/2024
CUST1003,Leeds,336,28/06/2024
CUST1088,Birmingham,402,25/07/2024
CUST1059,Glasgow,380,29/10/2024
CUST1013,London,442,06/05/2024
CUST1008,Leeds,20,25/02/2024
CUST1089,Leeds,406,01/08/2024
CUST1052,London,480,14/01/2024
CUST1001,Leeds,367,28/01/2024
CUST1083,Birmingham,209,18/03/2024
CUST1091,Glasgow,210,03/08/2024
CUST1059,London,388,30/12/2024
CUST1070,Glasgow,428,02/06/2024
CUST1043,Leeds,331,14/01/2024
CUST1007,Leeds,436,05/07/2024
